epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2017,2.36359,2.63564,2.00551,0.56524,0.52927,0.53233,0.22853,2.42722,1.89737,1.88155,0.000331579,0.000331579,0.0671737
2,143.232,2.08899,1.95226,1.82048,0.58667,0.59891,0.61018,0.30618,2.08568,1.87668,1.74018,0.000659427,0.000659427,0.0341682
3,212.916,2.00347,1.81081,1.7722,0.60705,0.60605,0.6279,0.30528,2.15215,1.66001,1.77029,0.000981775,0.000981775,0.00115721
4,282.303,1.97799,1.76168,1.76046,0.58555,0.60341,0.58663,0.29028,2.13956,1.71497,1.76704,0.00097525,0.00097525,0.00097525
5,351.843,1.93557,1.70839,1.73497,0.6085,0.60864,0.63702,0.33397,2.02004,1.54198,1.70213,0.000967,0.000967,0.000967
6,422.431,1.94581,1.67305,1.73862,0.6356,0.61872,0.64205,0.32963,2.08114,1.53689,1.72789,0.00095875,0.00095875,0.00095875
7,491.223,1.91892,1.64454,1.72091,0.64004,0.63769,0.67817,0.36802,1.94234,1.46308,1.66552,0.0009505,0.0009505,0.0009505
8,559.733,1.89453,1.60217,1.72307,0.62445,0.63792,0.66519,0.3282,2.11142,1.5299,1.71764,0.00094225,0.00094225,0.00094225
9,628.917,1.88062,1.61031,1.69572,0.60589,0.65238,0.68275,0.36507,1.96865,1.48949,1.64784,0.000934,0.000934,0.000934
10,698.194,1.84819,1.57902,1.67857,0.67448,0.62168,0.6801,0.36794,1.94844,1.47786,1.68037,0.00092575,0.00092575,0.00092575
11,767.278,1.83931,1.549,1.67873,0.67097,0.62062,0.68454,0.37683,1.91556,1.4298,1.64315,0.0009175,0.0009175,0.0009175
12,835.413,1.84255,1.54579,1.6773,0.66758,0.62983,0.68607,0.35772,2.02606,1.43929,1.66869,0.00090925,0.00090925,0.00090925
13,904.316,1.82292,1.51718,1.66057,0.6612,0.6467,0.68921,0.37546,1.93213,1.42904,1.6604,0.000901,0.000901,0.000901
14,972.677,1.82505,1.49211,1.66579,0.68231,0.63573,0.69594,0.3799,1.93316,1.39973,1.6515,0.00089275,0.00089275,0.00089275
15,1040.72,1.81962,1.49092,1.66596,0.65732,0.64832,0.69133,0.38652,1.91142,1.41454,1.64159,0.0008845,0.0008845,0.0008845
16,1108.99,1.79854,1.45756,1.65264,0.67393,0.6604,0.71006,0.38523,1.99649,1.37778,1.66579,0.00087625,0.00087625,0.00087625
17,1177.77,1.77418,1.44286,1.63246,0.66574,0.59625,0.65698,0.36265,1.92055,1.63679,1.65636,0.000868,0.000868,0.000868
